Income_INR,Village_Risk_Score,Loan_Size_INR,Past_Repayment_History,Default
29581,0.535,56410,0,1
6606,0.138,15758,2,0
6503,0.183,7158,2,0
7334,0.059,14434,1,0
5000,0.325,12044,0,1
7609,0.189,5000,2,0
6771,0.339,10233,1,1
10670,0.247,5000,2,0
11741,0.387,25042,0,1
25288,0.442,25350,0,1
15918,0.168,17490,2,1
7417,0.292,13672,1,1
6315,0.164,12993,1,0
12656,0.569,15694,1,1
5114,0.334,9194,2,1
24728,0.162,59555,1,1
17849,0.259,40383,1,1
7827,0.198,14658,0,1
5000,0.532,11902,1,1
19475,0.09,43615,2,0
9346,0.32,18046,2,0
18377,0.37,42751,2,0
5000,0.458,10582,1,0
7334,0.061,10669,2,0
9923,0.444,14436,1,1
10132,0.257,5000,1,0
7902,0.086,5000,2,0
13513,0.184,26581,2,0
5803,0.288,9082,0,1
9217,0.357,18415,2,0
10510,0.278,25165,2,0
12800,0.379,17284,2,0
14126,0.322,8274,2,0
5640,0.547,9677,1,1
5000,0.27,5000,2,0
18747,0.517,31960,1,1
11686,0.137,17625,1,0
6807,0.186,12904,0,0
21495,0.192,24440,2,1
10486,0.506,7362,2,0
17848,0.098,15992,2,0
10236,0.263,18791,0,1
27732,0.008,38941,1,0
23805,0.26,36558,1,0
8738,0.173,9422,2,0
16087,0.038,34701,2,0
13666,0.36,34150,1,0
19620,0.411,20711,2,0
6109,0.316,11663,0,0
13947,0.085,10590,1,0
16801,0.389,32915,0,0
5000,0.329,6523,0,0
5477,0.191,9153,2,0
5000,0.482,5000,1,1
8649,0.185,18930,0,1
14168,0.197,10824,1,0
20976,0.32,49297,0,1
10270,0.348,5429,1,0
22343,0.281,22450,0,0
5000,0.464,7910,0,1
5000,0.057,11013,0,1
9626,0.67,15514,1,1
11992,0.682,10239,0,1
9736,0.363,21459,1,1
5000,0.334,8259,1,0
9465,0.206,8404,2,0
5155,0.123,8144,2,0
13833,0.444,25150,2,0
11888,0.154,21744,1,0
6186,0.137,11879,1,0
7654,0.662,17460,1,1
5827,0.101,12425,1,0
9591,0.152,16077,1,0
15955,0.311,7460,1,0
6045,0.228,11934,1,0
12733,0.445,31165,2,1
7592,0.215,7908,2,0
6657,0.179,11148,2,0
9381,0.044,18896,0,1
5898,0.393,10274,2,1
7503,0.571,17539,2,0
5437,0.359,7579,1,1
26432,0.449,40095,0,0
10073,0.042,5000,1,0
6975,0.301,15976,1,0
11014,0.174,10472,1,0
9356,0.54,22967,0,1
8861,0.806,7305,1,0
13454,0.097,12543,1,0
14454,0.282,20492,0,0
7591,0.512,13565,1,1
7421,0.034,9835,0,1
8625,0.124,9822,1,1
5000,0.55,7670,1,0
5000,0.571,12062,2,0
19602,0.077,47441,0,0
22527,0.343,24529,1,0
8738,0.229,15976,0,1
13204,0.157,25299,1,1
11563,0.428,20492,0,1
40000,0.11,25492,2,0
17322,0.097,26554,0,1
9283,0.257,18594,1,1
6137,0.334,5043,1,0
5000,0.52,5656,2,0
10956,0.151,9072,1,0
6780,0.159,15341,0,0
5000,0.209,11014,1,0
7163,0.197,5410,2,0
5763,0.383,11509,2,0
23007,0.306,26788,1,0
15379,0.085,28313,1,0
9857,0.311,14156,0,0
20743,0.102,28856,1,0
10287,0.428,23154,1,1
6434,0.04,11179,0,0
21195,0.53,18972,1,1
12957,0.096,8197,0,0
5892,0.343,13906,0,1
8998,0.385,6498,0,1
6388,0.112,12402,2,0
5000,0.402,7206,2,0
15726,0.388,10916,1,0
25711,0.139,52220,0,1
5000,0.488,11497,1,1
13114,0.244,8592,1,0
7148,0.068,5000,0,0
7757,0.177,16948,2,0
7359,0.217,10686,1,0
6425,0.129,11671,2,0
10140,0.077,13457,1,0
6532,0.192,8270,1,0
11330,0.355,11662,1,1
9651,0.375,15270,0,0
8782,0.135,6460,2,0
6286,0.098,11983,1,1
7417,0.2,11525,1,0
14439,0.266,31474,1,0
12713,0.08,29676,1,0
6070,0.212,13909,2,0
10401,0.242,17292,2,0
14410,0.287,15409,2,0
5000,0.242,5750,2,0
12986,0.604,22990,1,0
7105,0.424,13466,1,0
13164,0.726,9724,1,1
6757,0.105,16864,0,1
5000,0.071,5000,2,1
5000,0.267,8374,1,0
10137,0.121,15360,0,1
11269,0.333,18494,2,0
6297,0.182,9577,1,0
13620,0.076,7104,0,0
5000,0.362,12457,0,0
9575,0.62,23562,2,1
5401,0.235,8108,1,0
7144,0.232,5983,2,0
10134,0.333,7947,1,0
6436,0.336,5000,0,1
8165,0.552,13758,1,1
16369,0.244,22986,0,1
7417,0.623,9451,2,0
15030,0.428,22590,1,1
5625,0.099,12562,2,0
12898,0.161,7075,1,0
20348,0.166,31390,0,1
5000,0.706,9360,1,0
6644,0.184,16202,1,0
13207,0.465,25798,2,0
8941,0.104,13868,1,1
11915,0.292,23952,1,1
7317,0.205,18248,0,1
10335,0.58,23422,0,1
9155,0.096,5375,1,1
17745,0.112,28519,1,0
11239,0.112,23059,1,0
11717,0.153,21218,1,1
8055,0.209,10275,1,0
7755,0.319,8354,1,0
7972,0.382,13686,0,1
12054,0.149,15261,1,1
8018,0.247,9808,0,0
11440,0.581,24678,1,0
27936,0.561,29693,0,1
15299,0.065,26840,2,0
8408,0.087,18786,1,0
18044,0.124,30779,1,1
8070,0.321,11579,2,0
5000,0.227,5000,0,1
5978,0.133,10948,1,0
5000,0.294,12474,2,0
8301,0.571,17414,1,0
9988,0.07,17304,1,0
22884,0.257,31699,1,0
11654,0.179,10152,1,0
8870,0.453,16440,1,1
14983,0.076,11572,0,0
5000,0.198,11314,1,0
11134,0.471,12730,1,0
14551,0.195,18037,2,0
5000,0.287,5000,1,1
17533,0.072,24748,2,0
11722,0.237,21439,1,0
8041,0.302,8329,1,0
13580,0.382,25447,0,0
30802,0.104,52463,0,0
10839,0.254,12812,2,0
11204,0.323,11842,1,0
7866,0.252,17374,2,0
6470,0.185,5000,2,0
14990,0.115,28532,1,0
6450,0.281,8232,2,0
10257,0.324,19562,1,0
7794,0.405,11424,1,1
12575,0.133,7244,0,0
11693,0.405,28794,2,0
16626,0.074,9655,1,1
7669,0.108,5619,1,0
8647,0.419,11092,0,1
6066,0.236,14461,2,0
7925,0.373,8048,2,0
11951,0.541,19053,1,1
14450,0.405,21603,1,0
6241,0.142,6823,1,0
15287,0.263,28470,1,0
19493,0.716,28324,2,0
12169,0.125,19647,2,0
25295,0.464,21282,1,0
6721,0.26,15767,1,1
5311,0.674,5000,1,1
5000,0.261,9247,2,1
20910,0.24,47266,2,0
13727,0.31,7913,0,1
9625,0.494,5000,0,1
11384,0.248,12518,1,0
5637,0.207,11607,1,0
33619,0.501,64095,0,1
10557,0.224,22451,1,0
10453,0.363,12907,2,0
14226,0.128,35380,1,0
12588,0.163,14713,1,0
11069,0.377,23149,2,0
6665,0.142,7577,0,1
12528,0.102,10758,1,0
25362,0.313,28076,2,1
19393,0.698,15604,0,1
21951,0.172,14732,2,0
7664,0.333,8924,1,0
6034,0.383,5000,0,0
9293,0.165,13521,2,0
10176,0.116,5000,1,0
17104,0.16,22334,1,0
5000,0.205,12059,1,0
21264,0.393,24529,1,0
9145,0.116,6301,0,0
7994,0.543,8321,1,1
5966,0.234,12301,1,1
5000,0.247,5293,1,0
14936,0.263,18003,2,0
10266,0.271,21112,2,1
5192,0.373,5000,0,1
5179,0.27,7274,2,0
8367,0.467,5000,0,1
22799,0.32,17454,2,0
8692,0.215,7300,2,0
5000,0.278,6867,1,0
8752,0.178,18591,1,1
8635,0.292,9883,2,0
5000,0.12,5995,2,0
9632,0.299,9941,0,1
8817,0.194,9461,1,1
14018,0.345,17485,1,1
24946,0.173,57095,2,0
17383,0.398,7843,0,1
8652,0.6,14809,1,0
5691,0.31,12886,1,0
35834,0.328,45711,2,0
10194,0.142,18012,1,1
9966,0.262,16245,2,1
9778,0.192,10865,0,1
10927,0.363,7524,0,1
9207,0.253,7929,1,1
7429,0.56,5000,1,1
7529,0.546,15103,2,0
9736,0.311,14788,2,0
7542,0.023,15460,1,1
6929,0.323,6994,2,0
10438,0.247,21813,1,0
8712,0.174,9142,2,0
20994,0.477,13746,0,0
5000,0.073,7605,2,0
17081,0.27,40741,0,0
18454,0.251,23440,1,1
5000,0.058,7411,1,0
8338,0.332,11238,2,0
8219,0.24,11183,2,0
5000,0.379,5000,1,1
6708,0.071,8634,2,0
5680,0.323,8199,2,0
23768,0.407,46687,0,1
15801,0.432,10960,2,0
18690,0.054,29912,1,0
14197,0.14,25422,2,0
5627,0.19,6775,0,1
7613,0.409,11826,0,0
12640,0.296,23923,2,0
5371,0.206,7395,1,1
14136,0.579,15550,1,0
8776,0.091,18710,1,0
8205,0.201,20321,1,0
14121,0.357,12073,1,0
12358,0.335,28026,1,1
8262,0.358,12769,1,0
17670,0.233,23690,0,0
5764,0.306,13117,2,0
13466,0.059,31130,2,0
13313,0.157,12948,0,0
8477,0.18,9771,2,0
11650,0.316,25502,0,1
5294,0.121,7575,1,1
15709,0.376,15785,1,1
9023,0.215,21841,1,1
7620,0.337,6521,0,1
16722,0.155,28122,2,0
6959,0.238,9037,2,0
5000,0.23,6738,2,0
5000,0.216,5000,0,0
13399,0.546,12595,2,0
5217,0.354,5000,1,1
23798,0.265,46984,2,0
5000,0.271,9326,2,0
23114,0.209,47792,1,0
10998,0.383,20550,1,1
9429,0.107,6320,1,0
7536,0.518,18502,1,1
12083,0.166,9616,2,0
9712,0.145,11033,2,0
17182,0.446,32379,1,0
10478,0.064,7282,0,1
10669,0.581,8088,1,1
8251,0.207,18490,1,0
9619,0.467,10554,1,1
11543,0.356,20752,2,0
5000,0.289,11016,2,1
5043,0.503,12325,1,1
14351,0.204,12078,2,1
10779,0.403,7094,2,0
9027,0.332,17653,1,0
9988,0.267,7943,1,0
11775,0.197,19057,2,0
7556,0.039,11474,1,0
6706,0.246,10568,1,0
10915,0.412,19260,0,1
6068,0.23,13270,0,1
12138,0.306,11784,2,0
5000,0.122,7830,1,0
16557,0.049,18329,1,0
12535,0.212,13404,2,1
11248,0.408,5000,2,0
16176,0.289,26833,0,0
22759,0.143,55584,2,0
16435,0.069,32848,2,0
5000,0.478,5000,1,0
5219,0.259,9937,1,0
7241,0.292,7417,2,0
10027,0.386,19880,1,1
12820,0.018,28146,2,0
6885,0.195,7588,0,1
10865,0.11,5000,1,0
6783,0.108,7058,0,1
7289,0.198,6067,2,0
5000,0.257,8495,0,1
6237,0.397,6294,1,1
5034,0.408,5000,0,1
6075,0.151,9209,2,0
16761,0.328,37492,0,0
6156,0.194,8298,2,0
36908,0.419,43929,2,0
12665,0.396,9814,0,1
10855,0.111,13173,1,1
6443,0.292,7055,1,0
14046,0.114,34967,1,0
7421,0.275,5000,2,0
10519,0.778,9484,0,0
35597,0.166,19369,2,0
9433,0.277,20758,2,0
17582,0.273,22440,0,1
6963,0.193,14429,1,1
9725,0.379,18026,2,1
23990,0.709,56349,1,1
7233,0.218,5000,1,0
24494,0.193,20463,1,0
14099,0.529,26425,1,1
7470,0.26,12169,1,0
13577,0.305,25238,1,0
16095,0.097,25889,2,0
13506,0.188,21882,0,1
5000,0.066,11792,1,1
6880,0.188,16063,1,1
8745,0.179,5000,1,1
9535,0.274,12097,1,0
13498,0.433,19872,0,0
10816,0.344,12456,1,0
5076,0.054,5000,1,0
11969,0.139,16659,1,0
13430,0.183,32891,0,1
13093,0.247,7223,0,0
16990,0.049,35934,1,0
15017,0.458,12177,0,1
12451,0.159,20062,1,0
9555,0.151,11589,2,0
5000,0.296,5664,0,1
12268,0.068,27333,1,0
10980,0.087,26838,1,1
11336,0.277,13739,0,1
5227,0.269,9121,1,0
5764,0.429,9041,1,0
16757,0.067,9409,1,0
9703,0.52,5000,0,1
13915,0.256,28166,0,1
10038,0.191,12332,0,1
10045,0.228,10506,2,0
15821,0.574,39075,0,0
7646,0.251,5000,1,0
10384,0.348,10021,1,0
7854,0.097,17274,1,0
7964,0.182,10126,1,0
8479,0.412,13795,2,0
11059,0.146,5547,2,0
7790,0.425,18171,1,0
18543,0.207,12749,0,0
6327,0.605,5366,2,0
9014,0.57,6573,2,0
7943,0.37,11476,1,1
20404,0.101,43162,2,0
10919,0.049,10488,1,1
16579,0.086,11586,1,0
5000,0.148,6304,2,0
11310,0.448,27841,1,0
15441,0.131,6535,2,0
10312,0.323,15040,1,0
16860,0.207,30444,2,0
7641,0.331,16002,1,0
20023,0.242,39386,2,1
31239,0.191,17378,1,0
8255,0.055,11308,1,0
7920,0.224,5000,2,0
20469,0.302,34832,0,1
21802,0.222,12247,2,0
7620,0.101,5000,1,0
8021,0.172,8363,1,0
8596,0.552,20386,1,1
5053,0.287,9555,1,1
6252,0.234,5000,2,0
5990,0.109,5978,2,0
6741,0.39,5000,2,1
9726,0.406,9902,1,1
11126,0.471,20468,1,1
21488,0.251,42880,2,0
6007,0.639,12548,2,0
16190,0.398,37415,2,0
8892,0.186,10388,2,1
9655,0.14,21352,2,0
13868,0.208,26740,2,0
5645,0.235,8633,2,0
11982,0.158,28814,2,0
10756,0.464,25709,1,0
12660,0.142,28928,2,1
11436,0.295,9431,2,0
33780,0.426,28259,0,0
7194,0.219,16491,0,1
7589,0.273,9377,0,0
7247,0.497,15036,0,1
7497,0.062,13813,2,0
7196,0.151,14399,0,1
17934,0.45,8163,2,0
20135,0.034,26235,2,0
7440,0.419,16367,2,0
6527,0.699,9327,1,0
12527,0.051,23167,1,0
7509,0.138,14924,1,1
13581,0.483,8876,0,1
10954,0.173,7964,0,0
5000,0.203,9607,0,0
21455,0.372,11041,1,0
24292,0.245,27158,0,1
7285,0.151,16959,1,1
8153,0.215,13095,2,0
11417,0.085,26398,1,1
11698,0.048,12280,1,0
13756,0.285,23894,2,0
27040,0.194,27099,0,1
9059,0.065,5737,2,0
6639,0.148,16469,0,0
5000,0.12,5000,1,0
6867,0.432,5465,1,0
9734,0.088,21104,0,1
24276,0.396,50609,0,1
7640,0.196,18745,2,0
11068,0.24,6095,1,0
9816,0.324,5866,1,1
17929,0.181,24066,2,1
35012,0.546,57514,2,0
7589,0.197,5000,0,0
7748,0.257,5676,2,0
16681,0.097,31312,2,0
13918,0.355,25107,1,1
24918,0.06,14660,1,0
13252,0.229,31230,2,0
8269,0.195,7732,1,0
13297,0.189,30094,2,0
17229,0.324,40286,1,1
14916,0.44,21318,2,0
12754,0.014,16136,1,0
16870,0.288,16602,1,1
17759,0.377,37214,2,0
19753,0.106,16056,2,0
13689,0.265,23359,0,1
9103,0.17,14483,2,0
10650,0.457,9826,0,1
18092,0.173,44587,0,1
6578,0.307,14322,0,1
11900,0.266,5273,2,0
8130,0.315,10461,2,1
10040,0.344,11585,0,0
18755,0.273,42272,1,1
10889,0.317,10404,0,1
10129,0.408,25291,2,0
5014,0.329,5000,1,0
14373,0.446,13110,0,1
13667,0.084,24583,2,0
29191,0.332,21549,1,0
8485,0.15,19232,2,0
11043,0.409,6966,1,0
11211,0.119,27635,1,0
21779,0.484,48715,1,0
9436,0.283,20414,0,1
11378,0.494,14282,1,1
13412,0.551,19832,2,1
10865,0.238,14758,2,0
7917,0.226,19583,2,0
10905,0.32,5159,1,0
16929,0.263,20342,2,0
5923,0.265,14416,1,1
10577,0.416,12436,1,0
6973,0.434,8624,0,0
17989,0.098,31044,2,0
5000,0.467,11526,1,0
7484,0.028,7622,1,1
11951,0.16,28563,0,1
21650,0.316,21506,0,1
9577,0.118,20229,0,1
7498,0.298,7342,1,0
25351,0.426,14025,0,1
5000,0.471,10529,2,0
5000,0.256,6725,2,0
12332,0.283,15052,2,0
7699,0.573,10031,1,0
5939,0.133,10003,1,0
14103,0.288,13421,2,0
11180,0.173,10042,1,0
7464,0.34,10564,0,0
5217,0.685,5000,1,0
15309,0.178,26791,1,1
13699,0.37,29151,1,0
9418,0.321,18154,0,1
24917,0.159,34523,2,0
5796,0.583,9200,2,1
5000,0.344,5000,0,1
7002,0.196,16217,1,1
9674,0.252,15207,2,0
11177,0.1,11898,0,0
8772,0.377,8917,1,0
11802,0.38,21069,1,0
5293,0.305,8612,2,0
20371,0.27,16184,2,0
9498,0.393,11976,0,0
17303,0.531,31491,1,1
11747,0.458,12041,1,1
12436,0.059,18274,1,1
13159,0.103,12307,1,0
12380,0.265,6815,1,1
13648,0.356,16586,0,0
19236,0.35,37268,0,1
10919,0.292,9271,0,0
14108,0.179,27996,2,0
9462,0.264,17089,0,1
20334,0.26,29799,0,1
7057,0.184,17219,2,1
24354,0.028,54923,0,1
9700,0.114,15352,0,0
5000,0.351,7856,1,0
10551,0.213,10375,0,1
7040,0.21,16422,1,0
15067,0.556,34376,1,1
7141,0.34,13985,0,0
7918,0.114,5293,2,0
5000,0.079,9388,1,1
7893,0.366,7353,1,0
5000,0.142,5000,2,0
5000,0.075,9971,2,0
14475,0.256,34964,1,0
14660,0.216,9216,2,1
12243,0.457,9113,2,0
6102,0.328,5250,1,0
9663,0.293,23406,1,1
9879,0.09,18399,1,0
5545,0.541,10118,1,0
20987,0.436,30653,1,1
15347,0.689,23464,1,1
8861,0.431,8944,2,0
10031,0.253,7268,1,0
10983,0.177,22391,2,0
5000,0.391,6942,0,1
8746,0.431,8200,0,1
7037,0.062,12166,2,0
